trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.9408232397760097, 'e': 0.5433508690744998}",20,16,6.709278110648718,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.9398828867910889, 'e': 0.5379444375946745}",30,0,-17.095796496095197,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.9389434736891332, 'e': 0.5325918010068972}",30,24,8.526375761001312,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.9380049995307295, 'e': 0.5272924240430485}",25,0,-47.950799106851974,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
65,False,"{'a': 0.9370674633774034, 'e': 0.522045776761016}",20,3,-32.91846968759195,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
66,False,"{'a': 0.9361308642916188, 'e': 0.5168513344916992}",25,11,-6.786128340035688,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
67,False,"{'a': 0.9351952013367766, 'e': 0.5117085777865424}",20,14,5.1299886608183485,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.9342604735772135, 'e': 0.5066169923655895}",20,0,17.590323557226306,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.933326680078202, 'e': 0.5015760690660555}",20,13,1.7001723485968778,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.9323938199059483, 'e': 0.49658530379140947}",25,14,16.101526264654527,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.9314618921275921, 'e': 0.4916441974609651}",30,0,-31.046936673028174,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.9305308958112057, 'e': 0.4867522559599717}",20,9,12.358595227496133,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
